Word_low,Frequency,Word_high,Frequency on High-point descriptions,Frequency on Low-point descriptions,high/low,total
sparkler,58,life,108,29,3.724137931,137
subtle,82,such,145,39,3.717948718,184
freshness,173,subtle,304,82,3.707317073,386
ripeness,84,wrapped,148,40,3.7,188
huge,19,noble,37,10,3.7,47
sourced,19,tons,37,10,3.7,47
green-leaning,19,stunner,37,10,3.7,47
essence,19,integrate,37,10,3.7,47
mushrooms,19,needing,37,10,3.7,47
traditional,19,exquisitely,37,10,3.7,47
soap,19,clos,37,10,3.7,47
balsamic,19,bergamot,37,10,3.7,47
direction,19,intricate,37,10,3.7,47
upon,19,noirs,37,10,3.7,47
red-currant,19,greatest,37,10,3.7,47
richer,19,knit,37,10,3.7,47
think,19,sp,37,10,3.7,47
mouthwatering,19,grounds,37,10,3.7,47
suggesting,43,mellow,85,23,3.695652174,108
sensation,24,black-plum,48,13,3.692307692,61
spritz,24,area,48,13,3.692307692,61
kiwi,30,allow,59,16,3.6875,75
grip,37,beginning,70,19,3.684210526,89
dre,56,lingers,103,28,3.678571429,131
red-fruit,117,elements,209,57,3.666666667,266
pasta,34,earthiness,66,18,3.666666667,84
one,225,aromatic,394,108,3.648148148,502
blackberries,174,:,310,85,3.647058824,395
melony,67,combine,124,34,3.647058824,158
carob,36,mushrooms,69,19,3.631578947,88
mature,74,inviting,137,38,3.605263158,175
barrel-fermented,18,ability,36,10,3.6,46
acrid,18,surrounded,36,10,3.6,46
maderized,18,hedonistic,36,10,3.6,46
sweet-tasting,18,roast,36,10,3.6,46
pickle,18,sources,36,10,3.6,46
several,18,expansive,36,10,3.6,46
every,18,restraint,36,10,3.6,46
overlay,18,nonetheless,36,10,3.6,46
saturated,18,often,36,10,3.6,46
pinch,18,92,36,10,3.6,46
brine,18,deft,36,10,3.6,46
said,18,endless,36,10,3.6,46
flavored,52,totally,97,27,3.592592593,124
tasted,44,fermented,86,24,3.583333333,110
ride,22,apparent,43,12,3.583333333,55
menthol,35,marmalade,68,19,3.578947368,87
jumpy,49,bracing,93,26,3.576923077,119
body,237,wines,429,121,3.545454545,550
cotton,23,mouthfilling,46,13,3.538461538,59
off-dry,125,expression,225,64,3.515625,289
carries,52,compact,98,28,3.5,126
stem,22,road,42,12,3.5,54
jellied,18,rocky,35,10,3.5,45
loses,18,evolution,35,10,3.5,45
dimension,18,lifts,35,10,3.5,45
medium-sweet,18,meets,35,10,3.5,45
mingle,18,century,35,10,3.5,45
native,18,marjoram,35,10,3.5,45
conveys,18,flamboyant,35,10,3.5,45
ideal,18,domaine,35,10,3.5,45
release,18,captivating,35,10,3.5,45
disappointment,18,95,35,10,3.5,45
serious,18,ava,35,10,3.5,45
peppercorn,18,immediate,35,10,3.5,45
integrated,18,incredible,35,10,3.5,45
play,18,major,35,10,3.5,45
earthiness,18,18,35,10,3.5,45
local,18,sniff,35,10,3.5,45
obvious,18,worthy,35,10,3.5,45
semisweet,44,vintages,87,25,3.48,112
apricots,64,line,118,34,3.470588235,152
sweet,1852,ripe,3026,873,3.466208477,3899
end,216,smoke,384,111,3.459459459,495
fruits,809,well,1291,374,3.451871658,1665
throughout,53,yeast,100,29,3.448275862,129
appear,32,',62,18,3.444444444,80
peaches,93,california,165,48,3.4375,213
spent,24,entry,48,14,3.428571429,62
peach,554,so,918,268,3.425373134,1186
see,21,layering,41,12,3.416666667,53
suggest,139,old,249,73,3.410958904,322
mushroom,54,2016,102,30,3.4,132
produced,35,sonoma,68,20,3.4,88
campfire,18,proving,34,10,3.4,44
bone-dry,18,awesome,34,10,3.4,44
stays,17,chablis,34,10,3.4,44
pulse,17,dance,34,10,3.4,44
pork,17,savor,34,10,3.4,44
chenin,17,silk,34,10,3.4,44
medium-weight,17,demands,34,10,3.4,44
promise,17,toned,34,10,3.4,44
special,17,delightful,34,10,3.4,44
parts,17,source,34,10,3.4,44
yield,17,des,34,10,3.4,44
peas,17,latest,34,10,3.4,44
second,17,9,34,10,3.4,44
chile,17,amarone,34,10,3.4,44
pasty,17,village,34,10,3.4,44
tomatoey,17,75,34,10,3.4,44
chocolate-covered,17,presence,34,10,3.4,44
pointed,17,auslese,34,10,3.4,44
mushy,31,sure,61,18,3.388888889,79
veers,31,mingle,61,18,3.388888889,79
given,57,coconut,105,31,3.387096774,136
heavy,522,dried,898,266,3.37593985,1164
toffee,24,expensive,47,14,3.357142857,61
tart,667,full,1070,319,3.354231975,1389
%,652,juicy,1055,315,3.349206349,1370
bramble,45,example,87,26,3.346153846,113
five,25,beer,50,15,3.333333333,65
beaujolais,25,contrast,50,15,3.333333333,65
devoid,20,manages,40,12,3.333333333,52
pretty,284,earth,502,151,3.324503311,653
lightweight,69,support,126,38,3.315789474,164
remains,32,essence,63,19,3.315789474,82
elements,57,remains,106,32,3.3125,138
big,185,zest,341,103,3.310679612,444
especially,51,focus,96,29,3.310344828,125
eucalyptus,22,home,43,13,3.307692308,56
done,40,displays,76,23,3.304347826,99
kick,34,reveal,66,20,3.3,86
modern,17,effect,33,10,3.3,43
me,17,study,33,10,3.3,43
bouncy,17,signature,33,10,3.3,43
framed,17,kirsch,33,10,3.3,43
firmly,17,maturing,33,10,3.3,43
salt,17,2006,33,10,3.3,43
usually,17,du,33,10,3.3,43
softer,17,superbly,33,10,3.3,43
production,17,various,33,10,3.3,43
drier,17,delicacy,33,10,3.3,43
food-friendly,17,welcome,33,10,3.3,43
sauerkraut,16,finished,33,10,3.3,43
complete,16,kicks,33,10,3.3,43
shrill,16,smoothly,33,10,3.3,43
persistent,16,begins,33,10,3.3,43
allow,16,feet,33,10,3.3,43
waft,16,lusciously,33,10,3.3,43
overpowering,16,pollen,33,10,3.3,43
pruney,16,st.,33,10,3.3,43
above,16,foundation,33,10,3.3,43
grace,16,profound,33,10,3.3,43
ammonia,16,tlese,33,10,3.3,43
jammy,402,smooth,686,208,3.298076923,894
new,119,petit,214,65,3.292307692,279
overall,203,perfumed,372,113,3.292035398,485
balanced,164,peel,296,90,3.288888889,386
pink,119,verdot,213,65,3.276923077,278
across,113,same,203,62,3.274193548,265
tang,41,cases,78,24,3.25,102
alcoholic,20,paste,39,12,3.25,51
off-putting,20,hazelnut,39,12,3.25,51
ribs,20,sets,39,12,3.25,51
bordeaux,69,pressed,126,39,3.230769231,165
cantaloupe,21,tarry,42,13,3.230769231,55
thin,435,over,735,228,3.223684211,963
cutting,29,let,58,18,3.222222222,76
buy,23,put,45,14,3.214285714,59
plastic,49,sheer,93,29,3.206896552,122
sugar,244,coffee,436,136,3.205882353,572
cookies,16,mountains,32,10,3.2,42
briney,16,granite,32,10,3.2,42
montepulciano,16,2005,32,10,3.2,42
baking,16,obviously,32,10,3.2,42
band-aid,16,2014,32,10,3.2,42
zippy,16,pedigree,32,10,3.2,42
others,16,entire,32,10,3.2,42
known,16,lushness,32,10,3.2,42
berry-cherry,16,sublime,32,10,3.2,42
four,16,using,32,10,3.2,42
additional,16,key,32,10,3.2,42
red-cherry,16,evolves,32,10,3.2,42
laced,16,wraps,32,10,3.2,42
consistency,16,succulence,32,10,3.2,42
12,16,thrilling,32,10,3.2,42
quaffable,16,ageable,32,10,3.2,42
room,16,volume,32,10,3.2,42
harvest,16,producing,32,10,3.2,42
cool-climate,16,sexy,32,10,3.2,42
acids,221,blueberry,390,122,3.196721311,512
sawdust,26,12,51,16,3.1875,67
then,214,silky,382,120,3.183333333,502
informal,57,closed,105,33,3.181818182,138
average,27,special,54,17,3.176470588,71
real,38,expressive,73,23,3.173913043,96
),173,before,306,97,3.154639175,403
ending,21,resulting,41,13,3.153846154,54
struggles,32,blends,63,20,3.15,83
adds,71,ample,129,41,3.146341463,170
highly,34,warmth,66,21,3.142857143,87
guava,16,syrahs,31,10,3.1,41
flowery,16,cellared,31,10,3.1,41
polished,16,pulls,31,10,3.1,41
moment,16,fills,31,10,3.1,41
size,16,surely,31,10,3.1,41
meet,16,textbook,31,10,3.1,41
feature,16,sipped,31,10,3.1,41
excessively,15,pleasing,31,10,3.1,41
unpleasant,15,2004,31,10,3.1,41
old-vine,15,crust,31,10,3.1,41
north,15,intrigue,31,10,3.1,41
beer,15,complemented,31,10,3.1,41
spoiled,15,russian,31,10,3.1,41
vivid,15,recent,31,10,3.1,41
textured,55,high-toned,102,33,3.090909091,135
thick,187,first,348,113,3.079646018,461
hinting,21,why,40,13,3.076923077,53
plums,49,aromatics,92,30,3.066666667,122
fail,23,package,46,15,3.066666667,61
nose,1431,its,2618,856,3.058411215,3474
off,269,even,473,155,3.051612903,628
black,686,chocolate,1114,369,3.01897019,1483
bone,43,want,84,28,3,112
brightened,28,saturated,54,18,3,72
substance,27,closes,54,18,3,72
roussanne,22,yes,42,14,3,56
tannat,20,driven,39,13,3,52
balancing,20,starting,39,13,3,52
veggies,15,puts,30,10,3,40
look,15,team,30,10,3,40
moscatel,15,indian,30,10,3,40
tartaric,15,!,30,10,3,40
exactly,15,quinta,30,10,3,40
world,15,selected,30,10,3,40
wanting,15,amidst,30,10,3,40
familiar,15,warmer,30,10,3,40
taut,15,atlas,30,10,3,40
contrast,15,chaparral,30,10,3,40
type,15,exuberance,30,10,3,40
nail,15,blood,30,10,3,40
rioja,15,walla,30,10,3,40
straight,15,invigorating,30,10,3,40
river,15,house,30,10,3,40
redolent,15,smoothness,30,10,3,40
did,15,bolstered,30,10,3,40
unfold,15,deeper,30,10,3,40
rosato,15,elaborate,30,10,3,40
three,15,captures,30,10,3,40
honest,15,honeycomb,30,10,3,40
watery,158,tea,292,98,2.979591837,390
bit,714,all,1191,400,2.9775,1591
low,177,toasty,321,108,2.972222222,429
producer,40,pleasure,77,26,2.961538462,103
but,2848,drink,3823,1292,2.958978328,5115
thus,28,presents,56,19,2.947368421,75
slight,102,keep,182,62,2.935483871,244
sage,37,flesh,70,24,2.916666667,94
briny,185,right,340,117,2.905982906,457
dusty,137,ripeness,244,84,2.904761905,328
cidery,31,place,61,21,2.904761905,82
life,29,riper,58,20,2.9,78
3,15,sizable,29,10,2.9,39
consumers,15,cranberries,29,10,2.9,39
dr.,15,vineyard-designate,29,10,2.9,39
crowd,15,hallmark,29,10,2.9,39
d'avola,15,expresses,29,10,2.9,39
thyme,15,dusting,29,10,2.9,39
sipping,15,supremely,29,10,2.9,39
cocktail,15,mainly,29,10,2.9,39
tinged,15,slightest,29,10,2.9,39
settle,15,blockbuster,29,10,2.9,39
package,15,bing,29,10,2.9,39
providing,15,supporting,29,10,2.9,39
mousse,15,sings,29,10,2.9,39
meyer,15,2013,29,10,2.9,39
supported,15,howell,29,10,2.9,39
widely,15,subtlety,29,10,2.9,39
named,15,firmness,29,10,2.9,39
berries,149,delicate,266,92,2.891304348,358
stainless,25,produce,49,17,2.882352941,66
sweetly,25,production,49,17,2.882352941,66
rugged,51,combination,95,33,2.878787879,128
offers,531,into,901,313,2.878594249,1214
easy-drinking,65,coming,118,41,2.87804878,159
bouquet,185,solid,342,119,2.87394958,461
bottle,89,enjoy,158,55,2.872727273,213
if,222,can,393,137,2.868613139,530
rusty,32,cured,63,22,2.863636364,85
30,32,accessible,63,22,2.863636364,85
lovely,20,luminous,40,14,2.857142857,54
scouring,40,TRUE,77,27,2.851851852,104
odd,95,fully,168,59,2.847457627,227
palate,2654,tannins,3703,1306,2.835375191,5009
resiny,153,around,279,99,2.818181818,378
boasts,40,pith,76,27,2.814814815,103
powdered,30,juniper,59,21,2.80952381,80
field,30,lamb,59,21,2.80952381,80
from,1163,%,1831,652,2.808282209,2483
light,1244,spice,2069,737,2.807327001,2806
starts,110,adds,199,71,2.802816901,270
pool,14,secondary,28,10,2.8,38
display,14,vine,28,10,2.8,38
put,14,alicante,28,10,2.8,38
mouth-puckering,14,m,28,10,2.8,38
sweat,14,highlighted,28,10,2.8,38
uncomplicated,14,maintains,28,10,2.8,38
official,14,gradually,28,10,2.8,38
2007,14,cult,28,10,2.8,38
impress,14,holding,28,10,2.8,38
earn,14,dramatically,28,10,2.8,38
2008,14,perfumes,28,10,2.8,38
purity,14,deftly,28,10,2.8,38
sappy,14,slopes,28,10,2.8,38
struggling,14,he,28,10,2.8,38
stay,14,steve,28,10,2.8,38
severely,14,charcoal,28,10,2.8,38
served,14,hefty,28,10,2.8,38
minor,14,peat,28,10,2.8,38
pick,14,rewarding,28,10,2.8,38
sticks,14,coiled,28,10,2.8,38
yes,14,bottled,28,10,2.8,38
onion,14,sophistication,28,10,2.8,38
marsanne,14,waiting,28,10,2.8,38
spearmint,14,tender,28,10,2.8,38
ordinary,14,countered,28,10,2.8,38
tell,14,days,28,10,2.8,38
weight,180,stone,332,119,2.789915966,451
spring,27,upon,53,19,2.789473684,72
rhubarb,82,tar,145,52,2.788461538,197
heft,20,spiciness,39,14,2.785714286,53
clay,18,super,36,13,2.769230769,49
',18,feral,36,13,2.769230769,49
pie-filling,24,pork,47,17,2.764705882,64
white-fruit,54,grip,102,37,2.756756757,139
mellow,23,moment,44,16,2.75,60
winemaker,17,date,33,12,2.75,45
acid-driven,16,produces,33,12,2.75,45
fast,38,freshly,74,27,2.740740741,101
seafood,27,benefit,52,19,2.736842105,71
southern,31,funk,60,22,2.727272727,82
nice,182,currants,335,123,2.723577236,458
honeysuckle,42,perfume,81,30,2.7,111
heaviness,14,composed,27,10,2.7,37
alive,14,hails,27,10,2.7,37
meals,14,carneros,27,10,2.7,37
persists,14,contribute,27,10,2.7,37
linger,14,veteran,27,10,2.7,37
appetizers,14,twist,27,10,2.7,37
expensive,14,minutes,27,10,2.7,37
cover,14,notable,27,10,2.7,37
purposes,14,supports,27,10,2.7,37
eventually,14,lee,27,10,2.7,37
horse,14,breathing,27,10,2.7,37
organically,14,muscle,27,10,2.7,37
spiciness,14,breadth,27,10,2.7,37
tightly,14,solidly,27,10,2.7,37
cheeseburger,14,allows,27,10,2.7,37
luminous,14,dusted,27,10,2.7,37
occasions,14,gr,27,10,2.7,37
why,13,blocks,27,10,2.7,37
turned,13,kept,27,10,2.7,37
resulting,13,allied,27,10,2.7,37
another,31,maple,62,23,2.695652174,85
hold,36,present,70,26,2.692307692,96
akin,18,losing,35,13,2.692307692,48
apricot,257,comes,451,168,2.68452381,619
herbaceous,100,take,177,66,2.681818182,243
vital,16,sunny,32,12,2.666666667,44
berry,1251,now,2111,793,2.662042875,2904
clumsy,58,own,109,41,2.658536585,150
melon,440,balance,740,279,2.652329749,1019
background,52,black-fruit,98,37,2.648648649,135
dilute,136,brings,241,91,2.648351648,332
rooty,19,bordeaux-style,37,14,2.642857143,51
so,268,showing,470,178,2.640449438,648
burn,49,once,92,35,2.628571429,127
all,400,give,657,250,2.628,907
sauce,61,20,113,43,2.627906977,156
appealing,57,game,105,40,2.625,145
wheaty,21,preserves,42,16,2.625,58
licorice,150,flower,269,103,2.611650485,372
come,279,big,483,185,2.610810811,668
disappointing,31,base,60,23,2.608695652,83
kind,61,provides,112,43,2.604651163,155
well,374,herb,645,248,2.600806452,893
pastry,26,balancing,52,20,2.6,72
sherry,13,needle,26,10,2.6,36
blows,13,bouschet,26,10,2.6,36
tree,13,rum,26,10,2.6,36
bark,13,absolute,26,10,2.6,36
verve,13,reds,26,10,2.6,36
potent,13,change,26,10,2.6,36
indicate,13,mineral-driven,26,10,2.6,36
smokiness,13,tingling,26,10,2.6,36
feral,13,buoyant,26,10,2.6,36
edged,13,energizing,26,10,2.6,36
80,13,ridge,26,10,2.6,36
overwhelming,13,ash,26,10,2.6,36
dimensional,13,ease,26,10,2.6,36
super,13,cooking,26,10,2.6,36
nervy,13,senses,26,10,2.6,36
components,13,producers,26,10,2.6,36
primitivo,13,longtime,26,10,2.6,36
softened,13,vibrantly,26,10,2.6,36
grab,13,d,26,10,2.6,36
driven,13,lies,26,10,2.6,36
starting,13,astonishing,26,10,2.6,36
heavy-handed,13,nectar,26,10,2.6,36
coating,13,grey,26,10,2.6,36
tarry,13,extends,26,10,2.6,36
mendocino,13,owner,26,10,2.6,36
overripeness,13,cabs,26,10,2.6,36
burger,13,delightfully,26,10,2.6,36
mushroomy,13,evolving,26,10,2.6,36
cake,13,phenolic,26,10,2.6,36
black-plum,13,near-perfect,26,10,2.6,36
cr,13,massively,26,10,2.6,36
around,99,leaf,174,67,2.597014925,241
were,42,30,83,32,2.59375,115
next,29,steak,57,22,2.590909091,79
sketchy,31,fermentation,62,24,2.583333333,86
paired,16,surprising,31,12,2.583333333,43
coast,16,exhibits,31,12,2.583333333,43
zesty,124,few,222,86,2.581395349,308
tad,41,hits,80,31,2.580645161,111
once,35,initially,67,26,2.576923077,93
lots,141,tangerine,254,99,2.565656566,353
waxy,67,bacon,123,48,2.5625,171
overoaked,23,box,46,18,2.555555556,64
blend,795,cabernet,1236,484,2.553719008,1720
touches,80,accented,143,56,2.553571429,199
character,718,pepper,1193,468,2.549145299,1661
dominated,69,extremely,127,50,2.54,177
lend,37,center,71,28,2.535714286,99
added,19,redolent,38,15,2.533333333,53
veer,48,robust,91,36,2.527777778,127
fruitless,24,love,48,19,2.526315789,67
main,24,added,48,19,2.526315789,67
ne,29,different,58,23,2.52173913,81
turn,109,chewy,195,78,2.5,273
adding,18,display,35,14,2.5,49
curiously,13,becoming,25,10,2.5,35
snap,13,persistence,25,10,2.5,35
blackened,13,highlight,25,10,2.5,35
says,13,splendid,25,10,2.5,35
equivalent,13,tempered,25,10,2.5,35
following,13,whole-cluster,25,10,2.5,35
poultry,13,signals,25,10,2.5,35
picnics,13,enveloping,25,10,2.5,35
33,13,showcase,25,10,2.5,35
category,13,garrigue,25,10,2.5,35
florals,13,les,25,10,2.5,35
meant,13,exudes,25,10,2.5,35
unlikely,13,fluid,25,10,2.5,35
acacia,13,eastern,25,10,2.5,35
shellfish,13,located,25,10,2.5,35
creaminess,13,usual,25,10,2.5,35
di,13,district,25,10,2.5,35
salads,13,impact,25,10,2.5,35
mouthfilling,13,mace,25,10,2.5,35
pour,13,dosage,25,10,2.5,35
surprising,12,shadings,25,10,2.5,35
mute,12,earl,25,10,2.5,35
shoe,12,retaining,25,10,2.5,35
overriding,12,slope,25,10,2.5,35
downright,12,must,25,10,2.5,35
took,12,original,25,10,2.5,35
none,12,frames,25,10,2.5,35
speak,12,proportioned,25,10,2.5,35
14,12,levels,25,10,2.5,35
structural,12,mount,25,10,2.5,35
drive,12,2037,25,10,2.5,35
allspice,12,pomegranates,25,10,2.5,35
beets,12,93,25,10,2.5,35
herbal,911,blackberry,1440,579,2.487046632,2019
dark,295,opens,532,214,2.485981308,746
may,102,where,181,73,2.479452055,254
creamy,336,smoky,601,243,2.473251029,844
makes,173,offering,309,125,2.472,434
warm,134,flowers,237,96,2.46875,333
late,41,holds,79,32,2.46875,111
easily,19,rioja,37,15,2.466666667,52
nuances,16,brand,32,13,2.461538462,45
melted,49,part,93,38,2.447368421,131
between,49,keeps,93,38,2.447368421,131
elegant,47,lend,90,37,2.432432432,127
spain,17,alive,34,14,2.428571429,48
hot,325,tight,573,236,2.427966102,809
heavily,70,beyond,128,53,2.41509434,181
complex,42,oregano,82,34,2.411764706,116
effort,43,takes,84,35,2.4,119
challenging,18,mind,36,15,2.4,51
mars,18,dr.,36,15,2.4,51
ago,12,tantalizing,24,10,2.4,34
cigar,12,san,24,10,2.4,34
gamay,12,steep,24,10,2.4,34
abundance,12,biodynamic,24,10,2.4,34
road,12,acres,24,10,2.4,34
scented,12,wrap,24,10,2.4,34
correct,12,mixes,24,10,2.4,34
kool-aid,12,art,24,10,2.4,34
abrupt,12,well-crafted,24,10,2.4,34
deal,12,olallieberry,24,10,2.4,34
become,12,winemakers,24,10,2.4,34
flaws,12,hallmarks,24,10,2.4,34
chianti,12,lick,24,10,2.4,34
sit,12,beneath,24,10,2.4,34
atop,12,24,24,10,2.4,34
monterey,12,wow,24,10,2.4,34
somewhere,12,ripest,24,10,2.4,34
pencil,12,savoriness,24,10,2.4,34
scoury,12,damson,24,10,2.4,34
normal,12,light-footed,24,10,2.4,34
apparent,12,ner,24,10,2.4,34
2012,12,immaculate,24,10,2.4,34
green-fruit,12,deserves,24,10,2.4,34
la,12,dances,24,10,2.4,34
needed,12,tradition,24,10,2.4,34
excess,12,coat,24,10,2.4,34
lemongrass,12,counterpoint,24,10,2.4,34
creating,12,leap,24,10,2.4,34
heavier,12,endlessly,24,10,2.4,34
stemmy,89,'ll,158,66,2.393939394,224
lychee,113,open,203,85,2.388235294,288
saucy,55,effort,102,43,2.372093023,145
cleansing,27,60,52,22,2.363636364,74
takes,35,when,68,29,2.344827586,97
fleeting,42,under,82,35,2.342857143,117
sweaty,68,nicely,124,53,2.339622642,177
abrasive,36,enjoyable,70,30,2.333333333,100
results,24,evident,49,21,2.333333333,70
hide,18,straight,35,15,2.333333333,50
steam,14,spine,28,12,2.333333333,40
tobacco,185,cranberry,338,145,2.331034483,483
oregano,34,oil,65,28,2.321428571,93
we,45,lasting,88,38,2.315789474,126
plump,119,grilled,213,92,2.315217391,305
decidedly,19,filled,37,16,2.3125,53
mind,15,blackened,30,13,2.307692308,43
convincing,15,softened,30,13,2.307692308,43
minerals,15,edged,30,13,2.307692308,43
16,15,creaminess,30,13,2.307692308,43
sharp,453,wood,760,330,2.303030303,1090
hazelnut,12,boasting,23,10,2.3,33
streamlined,12,complement,23,10,2.3,33
reflects,12,developed,23,10,2.3,33
sets,12,tuscan,23,10,2.3,33
content,12,finally,23,10,2.3,33
recalls,12,austerity,23,10,2.3,33
entrance,12,longevity,23,10,2.3,33
stiff,12,reserve-level,23,10,2.3,33
bead,12,fore,23,10,2.3,33
brittle,12,darkly,23,10,2.3,33
dish,12,merest,23,10,2.3,33
minimal,12,small-production,23,10,2.3,33
wan,12,graham,23,10,2.3,33
spine,12,total,23,10,2.3,33
compromise,12,barbaresco,23,10,2.3,33
meld,12,sizzling,23,10,2.3,33
violets,12,utter,23,10,2.3,33
barbecued,12,elusive,23,10,2.3,33
bittersweet,12,build,23,10,2.3,33
there,1090,at,1604,698,2.297994269,2302
vintage,162,franc,294,128,2.296875,422
distinctly,28,extreme,55,24,2.291666667,79
cool,77,midpalate,142,62,2.290322581,204
sense,56,itself,103,45,2.288888889,148
own,41,opening,80,35,2.285714286,115
sugary,302,cola,538,236,2.279661017,774
hollow,74,being,139,61,2.278688525,200
moderate,30,lees,59,26,2.269230769,85
grating,35,them,68,30,2.266666667,98
tasty,27,includes,52,23,2.260869565,75
break,13,lending,27,12,2.25,39
pure,43,real,85,38,2.236842105,123
shearing,19,again,38,17,2.235294118,55
intriguing,19,custard,38,17,2.235294118,55
right,117,riesling,210,94,2.234042553,304
2016,30,pastry,58,26,2.230769231,84
coastal,15,80,29,13,2.230769231,42
forceful,15,combined,29,13,2.230769231,42
vibrancy,15,word,29,13,2.230769231,42
dill,24,dust,49,22,2.227272727,71
would,150,was,267,120,2.225,387
stalky,274,honey,476,215,2.213953488,691
crisp,850,shows,1328,601,2.209650582,1929
aggressive,57,strongly,106,48,2.208333333,154
quince,27,flavorful,53,24,2.208333333,77
suggestion,27,black-currant,53,24,2.208333333,77
lacks,224,show,394,179,2.201117318,573
country,18,waft,35,16,2.1875,51
ritif,58,golden,107,49,2.183673469,156
drink,1292,by,2272,1043,2.178331735,3315
streak,90,two,159,73,2.178082192,232
food,94,cool,167,77,2.168831169,244
rind,48,were,91,42,2.166666667,133
overwhelms,13,lemongrass,26,12,2.166666667,38
apart,13,2012,26,12,2.166666667,38
word,13,structural,26,12,2.166666667,38
mostly,98,touches,173,80,2.1625,253
create,35,form,67,31,2.161290323,98
compromised,21,think,41,19,2.157894737,60
muted,52,immediately,97,45,2.155555556,142
ripe,873,texture,1385,643,2.153965785,2028
j.c,14,tree,28,13,2.153846154,41
consistent,14,bark,28,13,2.153846154,41
variety,111,olive,200,93,2.150537634,293
perhaps,44,approachable,86,40,2.15,126
oily,164,mix,298,139,2.143884892,437
burning,15,organically,30,14,2.142857143,44
define,32,relatively,62,29,2.137931034,91
indistinct,16,16,32,15,2.133333333,47
mealy,118,they,213,100,2.13,313
barrels,26,whose,51,24,2.125,75
marked,66,given,121,57,2.122807018,178
okay,59,background,110,52,2.115384615,162
vegetables,28,50,57,27,2.111111111,84
peppery,201,blackberries,366,174,2.103448276,540
fiery,36,based,69,33,2.090909091,102
fermentation,24,backdrop,48,23,2.086956522,71
scents,199,),361,173,2.086705202,534
wines,121,tannin,217,104,2.086538462,321
volatility,25,cuts,50,24,2.083333333,74
continue,13,stuffing,25,12,2.083333333,37
losing,13,speak,25,12,2.083333333,37
green,1297,as,2378,1142,2.082311734,3520
masked,14,large,27,13,2.076923077,40
recommend,13,apart,27,13,2.076923077,40
soda-like,13,coating,27,13,2.076923077,40
currants,123,raspberries,218,105,2.076190476,323
foxy,45,honeysuckle,87,42,2.071428571,129
pair,195,(,358,173,2.069364162,531
california,48,region,91,44,2.068181818,135
dominating,33,completely,64,31,2.064516129,95
artificial,39,name,74,36,2.055555556,110
nero,23,ride,45,22,2.045454545,67
peanut,24,dill,49,24,2.041666667,73
viura,27,charm,53,26,2.038461538,79
cherry,1736,for,2810,1379,2.037708484,4189
vinho,28,unique,55,27,2.037037037,82
focus,29,shiraz,57,28,2.035714286,85
plum,833,more,1301,641,2.029641186,1942
aged,56,meaty,103,51,2.019607843,154
animal,61,dre,113,56,2.017857143,169
soften,65,months,119,59,2.016949153,178
better,119,rounded,213,106,2.009433962,319
oxidized,123,toasted,220,110,2,330
cream,80,accents,144,72,2,216
match,44,suggesting,86,43,2,129
muscat,26,half,52,26,2,78
steel,23,course,46,23,2,69
unripeness,23,steel,46,23,2,69
de,21,case,40,20,2,60
overt,18,conveys,36,18,2,54
running,18,dimension,36,18,2,54
sure,18,clay,36,18,2,54
seed,15,lusty,30,15,2,45
gluey,12,14,24,12,2,36
sunny,12,ed,24,12,2,36
strong,227,scents,396,199,1.989949749,595
fall,40,level,77,39,1.974358974,116
tomato,191,weight,355,180,1.972222222,535
oil,28,underneath,57,29,1.965517241,86
unique,27,aromatically,53,27,1.962962963,80
used,23,toffee,47,24,1.958333333,71
chunky,259,herbs,458,234,1.957264957,692
petite,97,cocoa,170,87,1.954022989,257
walnut,21,see,41,21,1.952380952,62
verdot,65,who,119,61,1.950819672,180
salmon,20,defined,39,20,1.95,59
a,12780,of,19178,9854,1.946214735,29032
while,1005,fruits,1570,809,1.940667491,2379
hits,31,appear,62,32,1.9375,94
hand,15,approach,29,15,1.933333333,44
inoffensive,14,look,29,15,1.933333333,44
impression,62,entirely,114,59,1.93220339,173
fruity,801,very,1289,668,1.929640719,1957
farmyard,14,rises,27,14,1.928571429,41
area,13,amid,25,13,1.923076923,38
seeming,12,undertones,23,12,1.916666667,35
bright,457,also,776,405,1.916049383,1181
fully,59,mourv,111,58,1.913793103,169
quaffer,21,burst,42,22,1.909090909,64
warmth,21,hinting,40,21,1.904761905,61
dog,19,pop,38,20,1.9,58
vitality,19,central,38,20,1.9,58
offering,125,better,226,119,1.899159664,345
narrow,83,honeyed,148,78,1.897435897,226
pinched,36,40,70,37,1.891891892,107
oranges,54,throughout,100,53,1.886792453,153
acidic,320,toast,567,301,1.88372093,868
mild,219,floral,389,208,1.870192308,597
s,118,giving,211,113,1.867256637,324
gris,28,shape,56,30,1.866666667,86
harshness,14,north,28,15,1.866666667,43
act,14,describe,28,15,1.866666667,43
sound,36,personality,69,37,1.864864865,106
",",28042,",",52084,28042,1.857356822,80126
pyrazinic,13,deliver,26,14,1.857142857,40
the,14268,the,26438,14268,1.852957668,40706
powerful,32,minerally,63,34,1.852941176,97
mint,190,mint,351,190,1.847368421,541
support,38,underlying,72,39,1.846153846,111
tan,12,acacia,24,13,1.846153846,37
merlot,355,spicy,611,332,1.840361446,943
funky,156,lively,288,157,1.834394904,445
oxidation,22,stand,44,24,1.833333333,68
sticky,126,zesty,226,124,1.822580645,350
